,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_d_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
13,4684,mnist56,10000,0.6937496066093445,0.6499848365783691,./d.n=mnist56,0.03812192752957344,2.0119905457249843e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist56,shallow,1e-05,3.0315394401550293,3.150874137878418,1.2114067077636719,1.2426341772079468,16.42877960205078,0.016382910731637702
14,4788,mnist09,10000,0.5131636261940002,0.45351386070251465,./d.n=mnist09,0.01928395964205265,2.4446409952361137e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist09,shallow,1e-05,1.9147257804870605,1.8733876943588257,1.1636340618133545,1.14607572555542,10.763389587402344,0.0132776432056422
15,5028,mnist07,10000,0.46829351782798767,0.4370865523815155,./d.n=mnist07,0.011156465858221054,8.992055882117711e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist07,shallow,1e-05,1.5852246284484863,1.5723652839660645,1.1806964874267578,1.1544311046600342,8.048213005065918,0.012032978815126202
16,5118,mnist78,10000,0.6259847283363342,0.5663941502571106,./d.n=mnist78,0.02990422025322914,9.034334652824327e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist78,shallow,1e-05,2.4202187061309814,2.4158425331115723,1.1783920526504517,1.1738063097000122,13.27661418914795,0.0149523828417416
17,5209,mnist48,10000,0.5620211362838745,0.5283869504928589,./d.n=mnist48,0.02125602215528488,8.131356480589602e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist48,shallow,1e-05,2.528205633163452,2.6160168647766113,1.1957273483276367,1.2049633264541626,13.680553436279297,0.015693413274567795
18,5248,mnist08,10000,0.4829082787036896,0.43149060010910034,./d.n=mnist08,0.020708687603473663,1.874123336165212e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist08,shallow,1e-05,2.011772632598877,2.0626747608184814,1.1485503911972046,1.1312288045883179,12.65561580657959,0.014691356166793035
19,5524,mnist36,10000,0.47342342138290405,0.43553364276885986,./d.n=mnist36,0.01471689622849226,1.761384919518605e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist36,shallow,1e-05,2.133917808532715,2.0675549507141113,1.1431846618652344,1.183429479598999,10.347360610961914,0.013707367661853445
20,5768,mnist24,10000,0.5291358232498169,0.5381978750228882,./d.n=mnist24,0.02146991342306137,1.101352881960338e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist24,shallow,1e-05,2.424370765686035,2.4971137046813965,1.1410505771636963,1.1545182466506958,12.637380599975586,0.014988352431817844
21,5917,mnist15,10000,0.45735761523246765,0.431528240442276,./d.n=mnist15,0.011261958628892899,9.173793841910083e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist15,shallow,1e-05,1.8737518787384033,1.9304274320602417,1.113122820854187,1.1165883541107178,9.575395584106445,0.012116623278884887
22,6569,mnist68,10000,0.6082051992416382,0.5572518110275269,./d.n=mnist68,0.033913712948560715,8.941158739617094e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist68,shallow,1e-05,2.4515981674194336,2.470491647720337,1.1660797595977783,1.2248610258102417,14.989466667175293,0.016120537411922504
23,7050,mnist39,10000,0.6767420768737793,0.6279425621032715,./d.n=mnist39,0.03211898356676102,8.898189662431832e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist39,shallow,1e-05,2.9198155403137207,2.9348692893981934,1.1676247119903564,1.216865062713623,16.47348976135254,0.016893991371532458
24,7224,mnist58,10000,0.7715564966201782,0.7074618935585022,./d.n=mnist58,0.04145725816488266,7.887575520726386e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist58,shallow,1e-05,3.544436454772949,3.6430485248565674,1.2549296617507935,1.3487012386322021,17.618555068969727,0.01928180915262778
25,8425,mnist03,10000,0.46249842643737793,0.4159206449985504,./d.n=mnist03,0.009227600879967213,7.21411879567313e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist03,shallow,1e-05,2.0430545806884766,2.100757598876953,1.1118215322494507,1.1549817323684692,10.809385299682617,0.014872024374832643
26,8425,mnist06,10000,0.6507973074913025,0.5799837708473206,./d.n=mnist06,0.029068924486637115,1.1199495929758996e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist06,shallow,1e-05,2.426990270614624,2.41159987449646,1.2002719640731812,1.2018804550170898,13.234915733337402,0.01562403254279682
27,8543,mnist14,10000,0.44904211163520813,0.4320898950099945,./d.n=mnist14,0.007036879658699036,1.3794291589874774e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist14,shallow,1e-05,1.4302815198898315,1.5110013484954834,1.0618001222610474,1.0506840944290161,10.288199424743652,0.0124372118824164
28,9261,mnist47,10000,0.6230068802833557,0.5570379495620728,./d.n=mnist47,0.02554393745958805,7.824856766092125e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist47,shallow,1e-05,2.8189785480499268,2.9360082149505615,1.128159761428833,1.2346559762954712,15.643460273742676,0.01669166548850336
29,9575,mnist59,10000,0.64649498462677,0.59361732006073,./d.n=mnist59,0.03515591472387314,8.457266631012317e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist59,shallow,1e-05,3.07623291015625,3.1233739852905273,1.1998302936553955,1.2042306661605835,15.54987907409668,0.01686738423300929
30,10182,mnist16,10000,0.40822693705558777,0.37675416469573975,./d.n=mnist16,0.014171472750604153,2.1084933905513026e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist16,shallow,1e-05,1.6194196939468384,1.6596652269363403,1.0927860736846924,1.0914584398269653,8.882905006408691,0.011959478067103313
31,10461,mnist13,10000,0.4400520622730255,0.418162077665329,./d.n=mnist13,0.015445955097675323,1.0601830581435934e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist13,shallow,1e-05,1.852919101715088,1.8994596004486084,1.1097617149353027,1.1206201314926147,11.226759910583496,0.013218368479527171
