,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
0,723,mnist02,128,1.8833905458450317,1.8518004417419434,1.3712689876556396,1.3596466779708862,./d.n=mnist02_d.st=128_m.i=1,0.1571388840675354,9.493471225141548e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist02_d.st=128_m.i=1,shallow,7.576273441314697,7.526597499847412,1.0791969299316406,1.0805712938308716,26.2528018951416,0.043996868099224394
1,838,mnist24,64,2.0978596210479736,2.059511661529541,1.447378158569336,1.4340260028839111,./d.n=mnist24_d.st=64_m.i=1,0.2598470449447632,9.873852832242846e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist24_d.st=64_m.i=1,shallow,7.29303503036499,7.1212687492370605,1.1164487600326538,1.1144869327545166,25.468809127807617,0.04395725922351252
2,790,mnist27,64,2.026700258255005,1.9463528394699097,1.4220283031463623,1.3936256170272827,./d.n=mnist27_d.st=64_m.i=2,0.30507704615592957,9.910962035064586e-06,64,25000,1e-05,256,1.0,2,0.01,d.n=mnist27_d.st=64_m.i=2,shallow,7.678980350494385,7.604806423187256,1.0460278987884521,1.0558109283447266,26.539138793945312,0.043948254282002136
3,764,mnist02,128,1.8805146217346191,1.899486780166626,1.3699969053268433,1.3769469261169434,./d.n=mnist02_d.st=128_m.i=0,0.17964792251586914,9.695355402072892e-06,64,25000,1e-05,256,1.0,0,0.01,d.n=mnist02_d.st=128_m.i=0,shallow,7.549656867980957,7.396251678466797,1.0763314962387085,1.089276909828186,25.885910034179688,0.043935843724933525
4,1061,mnist67,64,1.7777348756790161,1.7466182708740234,1.332373023033142,1.3207449913024902,./d.n=mnist67_d.st=64_m.i=0,0.20539402961730957,9.914547263178974e-06,64,25000,1e-05,256,1.0,0,0.01,d.n=mnist67_d.st=64_m.i=0,shallow,7.12135648727417,6.761347770690918,1.084212303161621,1.0605517625808716,24.88843536376953,0.04392192163796877
5,627,mnist28,64,2.141421318054199,2.1122264862060547,1.4624944925308228,1.4526638984680176,./d.n=mnist28_d.st=64_m.i=2,0.46616795659065247,9.879495337372646e-06,64,25000,1e-05,256,1.0,2,0.01,d.n=mnist28_d.st=64_m.i=2,shallow,7.18441915512085,6.990649223327637,0.9244592785835266,1.0861355066299438,27.084978103637695,0.04400845763818908
6,1060,mnist06,64,1.7082784175872803,1.691316843032837,1.3040634393692017,1.2976099252700806,./d.n=mnist06_d.st=64_m.i=1,0.24207894504070282,9.932038665283471e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist06_d.st=64_m.i=1,shallow,6.718629837036133,6.550668716430664,1.0117145776748657,1.0939393043518066,24.695537567138672,0.04388835026831606
7,899,mnist38,256,3.0579676628112793,3.0450329780578613,1.7472304105758667,1.743158221244812,./d.n=mnist38_d.st=256_m.i=0,0.3353543281555176,9.981064977182541e-06,64,25000,1e-05,256,1.0,0,0.01,d.n=mnist38_d.st=256_m.i=0,shallow,8.51302719116211,8.557369232177734,1.0433201789855957,1.1101521253585815,29.744413375854492,0.044084978159421834
8,1031,mnist03,128,1.8345597982406616,1.8019909858703613,1.353437900543213,1.3414864540100098,./d.n=mnist03_d.st=128_m.i=0,0.13589078187942505,9.639644304115791e-06,64,25000,1e-05,256,1.0,0,0.01,d.n=mnist03_d.st=128_m.i=0,shallow,7.1668009757995605,6.989790916442871,1.0411522388458252,1.0951905250549316,25.599422454833984,0.04392404206520081
9,1070,mnist48,256,2.293290615081787,2.226106643676758,1.5121244192123413,1.490016222000122,./d.n=mnist48_d.st=256_m.i=1,0.15711835026741028,9.77397576207295e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist48_d.st=256_m.i=1,shallow,7.974888801574707,8.056314468383789,1.1178175210952759,1.0697755813598633,27.928396224975586,0.04405259736363154
