,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
0,3075,mnist28,64,0.45477911829948425,0.38016870617866516,0.6617293953895569,0.5976159572601318,./d.n=mnist28_d.st=64_m.i=1,0.35164588689804077,9.96682865661569e-06,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist28_d.st=64_m.i=1,shallow,0.33204272389411926,0.36792638897895813,1.033042550086975,1.040352702140808,1.5518736839294434,0.005232589655599753
1,3385,mnist26,64,0.40376293659210205,0.29963380098342896,0.6222056746482849,0.5377521514892578,./d.n=mnist26_d.st=64_m.i=1,0.34741514921188354,9.971447980205994e-06,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist26_d.st=64_m.i=1,shallow,0.5012419819831848,0.5459705591201782,0.9586594700813293,0.9552124738693237,1.7097502946853638,0.005293525094185964
2,4123,mnist89,64,0.46883684396743774,0.28588756918907166,0.6702282428741455,0.5259870290756226,./d.n=mnist89_d.st=64_m.i=2,0.4198472201824188,9.98611722025089e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist89_d.st=64_m.i=2,shallow,0.43945616483688354,0.5168635249137878,0.9562451243400574,1.0167548656463623,1.6755393743515015,0.005299964169760786
3,4439,mnist06,64,0.2872680127620697,0.22197061777114868,0.5262018442153931,0.4662081003189087,./d.n=mnist06_d.st=64_m.i=2,0.18271860480308533,9.979132300941274e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist06_d.st=64_m.i=2,shallow,0.513342022895813,0.5395856499671936,1.047274112701416,0.9710228443145752,1.6204930543899536,0.005246201825169051
4,4944,mnist49,64,0.7411652207374573,0.4612310528755188,0.8461146354675293,0.6648558974266052,./d.n=mnist49_d.st=64_m.i=0,0.37027233839035034,9.976298315450549e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist49_d.st=64_m.i=0,shallow,0.5104156136512756,0.6456332802772522,1.0136042833328247,1.0091893672943115,1.9288069009780884,0.005475539644505856
5,4314,mnist29,128,0.49323272705078125,0.40922361612319946,0.6867712140083313,0.6298237442970276,./d.n=mnist29_d.st=128_m.i=1,0.1781545728445053,9.928529834724031e-06,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist29_d.st=128_m.i=1,shallow,0.7078070044517517,0.6981769800186157,1.0701508522033691,1.0364731550216675,2.0573863983154297,0.00555295013236321
6,4738,mnist79,128,1.3563505411148071,1.1874855756759644,1.1350836753845215,1.0684211254119873,./d.n=mnist79_d.st=128_m.i=2,0.4605710208415985,9.933296496456023e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist79_d.st=128_m.i=2,shallow,1.044318675994873,1.0870323181152344,1.1071009635925293,1.0060847997665405,2.871563673019409,0.006165701200534356
7,4208,mnist49,256,2.7456724643707275,2.107365608215332,1.6219873428344727,1.4239771366119385,./d.n=mnist49_d.st=256_m.i=0,0.31194645166397095,9.8111413535662e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist49_d.st=256_m.i=0,shallow,1.4172409772872925,1.5621448755264282,1.096163272857666,1.0509729385375977,3.8840856552124023,0.006889057433474888
8,6409,mnist67,64,0.23259148001670837,0.1877131462097168,0.47213831543922424,0.425485223531723,./d.n=mnist67_d.st=64_m.i=0,0.16400451958179474,9.9850967671955e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist67_d.st=64_m.i=0,shallow,0.45607990026474,0.4570678174495697,1.1072479486465454,1.0059492588043213,1.510446548461914,0.005144138420107938
9,4402,mnist08,256,0.5871357321739197,0.5427180528640747,0.7464439868927002,0.7173042297363281,./d.n=mnist08_d.st=256_m.i=2,0.10669159144163132,1.0028627002611756e-05,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist08_d.st=256_m.i=2,shallow,0.9391340613365173,0.9209291934967041,1.082895040512085,0.9751552939414978,2.522740602493286,0.005948241392344731
