,actual_epochs,dataset.lengthscale,dataset.name,dataset.noise_var,dataset.samples_train,dataset.seed,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
11,165,0.5,gp,0,3,18,1.7648159265518188,1.1893953084945679,1.3215396404266357,0.8993956446647644,./d.st=3_d.s=18_m.i=2,0.04554637894034386,0.0009086625068448484,,50000,0.001,256,0.01,2,0.1,d.st=3_d.s=18_m.i=2,shallow,1.3496142625808716,1.1904116868972778,0.8938701152801514,1.1821972131729126,2.6719183921813965,0.08342624219601266
12,450,0.5,gp,0,3,10,0.2169562131166458,0.1480657011270523,0.3868121802806854,0.2761518061161041,./d.st=3_d.s=10_m.i=2,0.4769459068775177,0.0009785377187654376,,50000,0.001,256,0.01,2,0.1,d.st=3_d.s=10_m.i=2,shallow,0.3969251811504364,0.35992467403411865,0.2611115574836731,0.35557010769844055,0.8055728077888489,0.04642532968226664
13,408,0.5,gp,0,4,4,1.0455690622329712,1.118073582649231,0.6206416487693787,0.7221463918685913,./d.st=4_d.s=4_m.i=3,0.01994636096060276,0.0009601208148524165,,50000,0.001,256,0.01,3,0.1,d.st=4_d.s=4_m.i=3,shallow,0.7613476514816284,0.891367495059967,0.31353139877319336,0.4641098976135254,2.1832656860351562,0.07984834546249345
14,293,0.5,gp,0,3,11,1.4373207092285156,0.9592264294624329,0.8496968746185303,0.5846704840660095,./d.st=3_d.s=11_m.i=1,0.5146167278289795,0.000984938582405448,,50000,0.001,256,0.01,1,0.1,d.st=3_d.s=11_m.i=1,shallow,0.8593003749847412,0.7288795113563538,0.5774191617965698,0.7247827053070068,1.7027101516723633,0.06957330560902686
15,430,0.5,gp,0,3,13,0.35817885398864746,0.2386815994977951,0.5047144293785095,0.35811924934387207,./d.st=3_d.s=13_m.i=4,0.05587167292833328,0.0009660003706812859,,50000,0.001,256,0.01,4,0.1,d.st=3_d.s=13_m.i=4,shallow,0.5125258564949036,0.4486621618270874,0.3419214189052582,0.4375913739204407,1.0750558376312256,0.05371028549352378
16,57,0.5,gp,0,2,9,0.1777183562517166,0.052341364324092865,0.41502097249031067,0.22803454101085663,./d.st=2_d.s=9_m.i=5,0.09697049111127853,0.0006998853641562164,,50000,0.001,256,0.01,5,0.1,d.st=2_d.s=9_m.i=5,shallow,0.06623946875333786,0.22206811606884003,0.30122479796409607,0.4268985688686371,0.45785045623779297,0.039655079067524246
17,978,0.5,gp,0,5,10,4.394131183624268,3.468923568725586,2.019688367843628,1.763629674911499,./d.st=5_d.s=10_m.i=3,0.02034604549407959,0.0009781911503523588,,50000,0.001,256,0.01,3,0.1,d.st=5_d.s=10_m.i=3,shallow,3.072338104248047,3.657468318939209,1.4850449562072754,1.6112059354782104,8.383468627929688,0.15580674386730295
18,947,0.5,gp,0,6,8,6.077869892120361,5.0424652099609375,2.2642221450805664,2.054201126098633,./d.st=6_d.s=8_m.i=6,0.046538762748241425,0.0009820439154282212,,50000,0.001,256,0.01,6,0.1,d.st=6_d.s=8_m.i=6,shallow,3.793179750442505,3.712944746017456,1.2874352931976318,1.642282247543335,9.650734901428223,0.16499998911827193
19,1123,0.5,gp,0,8,10,5.6159491539001465,6.50105619430542,2.1380672454833984,2.3513376712799072,./d.st=8_d.s=10_m.i=2,0.0034782278817147017,0.0009909032378345728,,50000,0.001,256,0.01,2,0.1,d.st=8_d.s=10_m.i=2,shallow,4.375750541687012,4.45725679397583,1.5575801134109497,1.674541711807251,10.508671760559082,0.1719568108365517
20,1864,0.5,gp,0,6,14,1.9256620407104492,1.3367739915847778,1.1363633871078491,0.8649668097496033,./d.st=6_d.s=14_m.i=8,0.024080753326416016,0.0009934768313542008,,50000,0.001,256,0.01,8,0.1,d.st=6_d.s=14_m.i=8,shallow,1.6283067464828491,1.9663742780685425,0.9499412775039673,0.9578434824943542,4.618732452392578,0.11592411586838948
21,1239,0.5,gp,0,10,10,5.822198867797852,6.461874485015869,2.1682114601135254,2.2905354499816895,./d.st=10_d.s=10_m.i=1,0.0025074591394513845,0.0009963485645130277,,50000,0.001,256,0.01,1,0.1,d.st=10_d.s=10_m.i=1,shallow,4.325417995452881,4.252723217010498,1.5648947954177856,1.6702091693878174,10.48520278930664,0.170932611857225
22,1593,0.5,gp,0,5,14,1.9102959632873535,0.8759398460388184,1.1313374042510986,0.6915168762207031,./d.st=5_d.s=14_m.i=2,0.023342974483966827,0.0009862532606348395,,50000,0.001,256,0.01,2,0.1,d.st=5_d.s=14_m.i=2,shallow,1.7306492328643799,2.008800983428955,0.9398791790008545,1.0479437112808228,4.589792251586914,0.11566691728026597
23,1530,0.5,gp,0,8,5,5.301270008087158,5.641966819763184,2.154336452484131,2.2048683166503906,./d.st=8_d.s=5_m.i=5,0.004971795249730349,0.0009843714069575071,,50000,0.001,256,0.01,5,0.1,d.st=8_d.s=5_m.i=5,shallow,3.372901201248169,3.341200351715088,1.2007502317428589,1.4519832134246826,8.421703338623047,0.15410514409010842
24,2426,0.5,gp,0,6,19,0.6291935443878174,0.7107731699943542,0.652458906173706,0.6741763949394226,./d.st=6_d.s=19_m.i=3,0.00406465632840991,0.0009940675226971507,,50000,0.001,256,0.01,3,0.1,d.st=6_d.s=19_m.i=3,shallow,1.0206351280212402,1.1158547401428223,0.4021311104297638,0.496339350938797,2.617495536804199,0.08671430347376942
25,1827,0.5,gp,0,8,9,1.0799853801727295,1.1922004222869873,0.9471118450164795,1.0484914779663086,./d.st=8_d.s=9_m.i=7,0.001930152764543891,0.0009962155018001795,,50000,0.001,256,0.01,7,0.1,d.st=8_d.s=9_m.i=7,shallow,1.4847880601882935,1.6317123174667358,0.5204647779464722,0.6202725768089294,3.954484224319458,0.1063079732921244
26,1781,0.5,gp,0,5,7,2.481673240661621,1.579982042312622,1.163762092590332,0.8680137395858765,./d.st=5_d.s=7_m.i=6,0.017690420150756836,0.0009900392033159733,,50000,0.001,256,0.01,6,0.1,d.st=5_d.s=7_m.i=6,shallow,2.239645004272461,2.3835887908935547,1.0010464191436768,1.0907191038131714,5.513936996459961,0.12594101055453122
