,actual_epochs,dataset.name,dataset.samples_train,error,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.gradient_norm_reg_coef,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.weights_product_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
0,,mnist02,10000,"Input contains NaN, infinity or a value too large for dtype('float32').",,,./d.n=mnist02_m.gnrc=1e-05_m.lr=0.1,,,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist02_m.gnrc=1e-05_m.lr=0.1,shallow,0,,,,,,
1,848.0,mnist67,10000,,0.8043862581253052,0.7477346658706665,./d.n=mnist67_m.gnrc=0_m.lr=0.1,0.012750023044645786,7.755061233183369e-06,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist67_m.gnrc=0_m.lr=0.1,shallow,0,1.743444561958313,1.7331501245498657,1.0946178436279297,1.1198837757110596,7.873202800750732,0.010904236848212972
2,1155.0,mnist69,10000,,0.8158859610557556,0.782075047492981,./d.n=mnist69_m.gnrc=0_m.lr=0.1,0.013141060248017311,4.800861643161625e-05,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist69_m.gnrc=0_m.lr=0.1,shallow,0,1.8055460453033447,1.8414002656936646,1.0724502801895142,1.1381630897521973,9.412775039672852,0.012248825052880668
3,1014.0,mnist05,10000,,0.7101274132728577,0.6577808856964111,./d.n=mnist05_m.gnrc=0_m.lr=0.1,0.020329061895608902,7.218093287519878e-06,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist05_m.gnrc=0_m.lr=0.1,shallow,0,2.671640157699585,2.6480824947357178,1.2661793231964111,1.226691722869873,14.08784008026123,0.014525320327298048
4,1091.0,mnist38,10000,,0.9774017333984375,0.897302508354187,./d.n=mnist38_m.gnrc=0_m.lr=0.1,0.045657191425561905,1.658610926824622e-05,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist38_m.gnrc=0_m.lr=0.1,shallow,0,3.8329086303710938,4.009753227233887,1.2896698713302612,1.3441262245178223,25.410062789916992,0.01975305651241888
5,1378.0,mnist47,10000,,0.7943007946014404,0.7066524028778076,./d.n=mnist47_m.gnrc=0_m.lr=0.1,0.024477528408169746,2.3580685592605732e-05,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist47_m.gnrc=0_m.lr=0.1,shallow,0,3.0776875019073486,2.994736433029175,1.1417360305786133,1.1750984191894531,19.250293731689453,0.01650650046022021
6,1419.0,mnist03,10000,,0.5549401044845581,0.4930728077888489,./d.n=mnist03_m.gnrc=0_m.lr=0.1,0.009335808455944061,1.134592639573384e-05,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist03_m.gnrc=0_m.lr=0.1,shallow,0,2.111820936203003,2.1004745960235596,1.1445574760437012,1.2084492444992065,13.501394271850586,0.014159852019144497
7,1005.0,mnist23,10000,,0.8715787529945374,0.8041800260543823,./d.n=mnist23_m.gnrc=0_m.lr=0.1,0.03224676474928856,7.17818375051138e-06,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist23_m.gnrc=0_m.lr=0.1,shallow,0,3.486928701400757,3.568204641342163,1.264819860458374,1.2895959615707397,22.45292091369629,0.018227495241161205
8,2013.0,mnist16,10000,,0.564863920211792,0.5268864631652832,./d.n=mnist16_m.gnrc=0_m.lr=0.1,0.014560315757989883,1.9897130187018774e-05,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist16_m.gnrc=0_m.lr=0.1,shallow,0,1.882195234298706,1.9656907320022583,1.0950969457626343,1.0857406854629517,10.307114601135254,0.012299843986032047
9,995.0,mnist67,10000,,0.7555310130119324,0.7040044665336609,./d.n=mnist67_m.gnrc=1e-05_m.lr=0.1,0.012655544094741344,1.41301079565892e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist67_m.gnrc=1e-05_m.lr=0.1,shallow,0,1.7287718057632446,1.6950371265411377,1.1466302871704102,1.1106455326080322,7.714098930358887,0.010969592301506273
10,1814.0,mnist79,10000,,1.1592910289764404,1.0914164781570435,./d.n=mnist79_m.gnrc=0_m.lr=0.1,0.04629915580153465,1.5756853827042505e-05,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist79_m.gnrc=0_m.lr=0.1,shallow,0,4.182876110076904,4.366371154785156,1.2344970703125,1.2498582601547241,28.960737228393555,0.021013653834468835
11,1827.0,mnist12,10000,,0.7441242337226868,0.7204369902610779,./d.n=mnist12_m.gnrc=0_m.lr=0.1,0.019443891942501068,6.362665317283245e-06,64,15000,1e-05,0.0,256,0.01,0,0.1,d.n=mnist12_m.gnrc=0_m.lr=0.1,shallow,0,2.4453539848327637,2.4542059898376465,1.124240517616272,1.1714673042297363,14.94674015045166,0.014334655842565871
12,1129.0,mnist69,10000,,0.7892237305641174,0.7519704699516296,./d.n=mnist69_m.gnrc=1e-05_m.lr=0.1,0.013465485535562038,9.899505130306352e-06,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist69_m.gnrc=1e-05_m.lr=0.1,shallow,0,1.7854387760162354,1.8128420114517212,1.0748220682144165,1.1452326774597168,9.393258094787598,0.012315406169552874
13,1158.0,mnist23,10000,,0.8412717580795288,0.7706965804100037,./d.n=mnist23_m.gnrc=0.0001_m.lr=0.1,0.035020019859075546,7.75794433138799e-06,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist23_m.gnrc=0.0001_m.lr=0.1,shallow,0,3.500638008117676,3.555302381515503,1.2897876501083374,1.2689474821090698,22.131900787353516,0.018367113360523362
14,1206.0,mnist78,10000,,0.7809876799583435,0.714421272277832,./d.n=mnist78_m.gnrc=1e-05_m.lr=0.1,0.031657129526138306,1.0763151294668205e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist78_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.681307554244995,2.7619194984436035,1.1612590551376343,1.1899632215499878,15.929499626159668,0.015120251093176728
15,1211.0,mnist01,10000,,0.3901422619819641,0.3668084144592285,./d.n=mnist01_m.gnrc=0.0001_m.lr=0.1,0.0016394872218370438,1.2382150089251809e-05,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist01_m.gnrc=0.0001_m.lr=0.1,shallow,0,1.3052170276641846,1.3141452074050903,1.0838606357574463,1.1284184455871582,7.469732761383057,0.0101775205107322
16,1258.0,mnist26,10000,,0.6812697649002075,0.6616083383560181,./d.n=mnist26_m.gnrc=1e-05_m.lr=0.1,0.02735144831240177,3.194401870132424e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist26_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.7146782875061035,2.7005345821380615,1.2245240211486816,1.2561306953430176,15.260881423950195,0.01497397301941713
17,1282.0,mnist38,10000,,1.0416911840438843,0.9554245471954346,./d.n=mnist38_m.gnrc=1e-05_m.lr=0.1,0.042597293853759766,9.909693289955612e-06,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist38_m.gnrc=1e-05_m.lr=0.1,shallow,0,3.8868954181671143,4.006943702697754,1.218273401260376,1.3205243349075317,26.203250885009766,0.020523367060057005
18,1312.0,mnist48,10000,,0.6683001518249512,0.6239297389984131,./d.n=mnist48_m.gnrc=1e-05_m.lr=0.1,0.021134886890649796,1.031177362165181e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist48_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.7718045711517334,2.8001527786254883,1.2181892395019531,1.2577787637710571,16.372283935546875,0.01584685877606098
19,1079.0,mnist34,10000,,0.5085292458534241,0.4689076542854309,./d.n=mnist34_m.gnrc=1e-05_m.lr=0.1,0.00965807493776083,1.3946792023489252e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist34_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.1549360752105713,2.2536137104034424,1.1713312864303589,1.1556315422058105,12.377229690551758,0.013417769271255363
20,1496.0,mnist47,10000,,0.7733390927314758,0.6839096546173096,./d.n=mnist47_m.gnrc=1e-05_m.lr=0.1,0.02486746571958065,6.828990080975927e-06,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist47_m.gnrc=1e-05_m.lr=0.1,shallow,0,3.0201075077056885,2.945580244064331,1.1381490230560303,1.1726022958755493,19.18073081970215,0.01653604111455566
21,1509.0,mnist03,10000,,0.560539186000824,0.49462267756462097,./d.n=mnist03_m.gnrc=0.0001_m.lr=0.1,0.010462402366101742,8.243860065704212e-06,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist03_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.2442116737365723,2.1667356491088867,1.1481770277023315,1.160119891166687,13.293246269226074,0.014136695365675602
22,1522.0,mnist15,10000,,0.4811863899230957,0.46396684646606445,./d.n=mnist15_m.gnrc=0.0001_m.lr=0.1,0.009680204093456268,1.5553612684016116e-05,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist15_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.2472782135009766,2.3018202781677246,1.0867040157318115,1.1811606884002686,10.680541038513184,0.012410422551949706
23,3433.0,mnist07,10000,,0.8081731200218201,0.8043310642242432,./d.n=mnist07_m.gnrc=0_m.lr=0.01,0.008047358132898808,2.2889867977937683e-05,64,15000,1e-05,0.0,256,0.01,0,0.01,d.n=mnist07_m.gnrc=0_m.lr=0.01,shallow,0,2.5999083518981934,2.5443646907806396,1.0098426342010498,1.0199921131134033,7.849832534790039,0.009415024576980801
24,1646.0,mnist06,10000,,0.736220121383667,0.6467487812042236,./d.n=mnist06_m.gnrc=1e-05_m.lr=0.1,0.028723035007715225,1.2868615158367902e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist06_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.486774206161499,2.403308868408203,1.2096470594406128,1.1987102031707764,16.22105598449707,0.015605386047422776
25,3426.0,mnist38,10000,,1.1052709817886353,1.0503437519073486,./d.n=mnist38_m.gnrc=0_m.lr=0.01,0.04000740870833397,1.1524245564942248e-05,64,15000,1e-05,0.0,256,0.01,0,0.01,d.n=mnist38_m.gnrc=0_m.lr=0.01,shallow,0,5.673027515411377,5.679431438446045,1.2185837030410767,1.194324016571045,18.683349609375,0.01452737551627485
26,611.0,mnist25,10000,,0.706921398639679,0.6947540044784546,./d.n=mnist25_m.gnrc=1e-05_m.lr=0.1,0.013876217417418957,8.841598173603415e-06,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist25_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.7366151809692383,2.8212382793426514,1.2385486364364624,1.2537261247634888,13.925233840942383,0.014068031754393221
27,1389.0,mnist48,10000,,0.6028363108634949,0.5644993185997009,./d.n=mnist48_m.gnrc=0.0001_m.lr=0.1,0.020817773416638374,6.511197625513887e-06,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist48_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.666123151779175,2.7869770526885986,1.187536358833313,1.2611624002456665,16.22577667236328,0.01577216036531295
28,1787.0,mnist19,10000,,0.5746968984603882,0.5810974836349487,./d.n=mnist19_m.gnrc=1e-05_m.lr=0.1,0.016623323783278465,1.4520751392410602e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist19_m.gnrc=1e-05_m.lr=0.1,shallow,0,2.068117380142212,2.1863160133361816,1.0400351285934448,1.097798228263855,12.521330833435059,0.013144325120788853
29,4151.0,mnist02,10000,,0.5810917615890503,0.5594081878662109,./d.n=mnist02_m.gnrc=0_m.lr=0.01,0.014565486460924149,1.0234682122245431e-05,64,15000,1e-05,0.0,256,0.01,0,0.01,d.n=mnist02_m.gnrc=0_m.lr=0.01,shallow,0,3.684546709060669,3.62725567817688,1.0568619966506958,1.0711159706115723,11.203625679016113,0.011244038410731272
