,dataset.seed,dataset.samples_train,weights_product,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,loss_test,loss_train,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_rms
0,1.0,2.0,0.841530978679657,0.7006802558898926,0.35388001799583435,0.8328706622123718,0.4206423759460449,0.47910910844802856,2.942091015256665e-14,0.01774057000875473,0.40474408864974976,0.5546011924743652,0.8513787388801575,0.6691404246128194
1,1.0,3.0,3.21304988861084,1.3155837059020996,1.8232555389404297,0.9323667883872986,1.0021014213562012,0.2417227029800415,5.10702591327572e-15,0.9266781210899353,1.492593765258789,0.5820680260658264,0.8150832653045654,0.6682559297788535
2,1.0,4.0,15.341348648071289,4.1306257247924805,3.3893206119537354,1.7799049615859985,1.5450819730758667,0.023228073492646217,1.8768320231288271e-13,2.9835546016693115,6.028450965881348,1.2742160558700562,1.614446759223938,0.713105203532724
3,1.0,5.0,14.671744346618652,3.893357276916504,2.763368844985962,1.7355836629867554,1.3243293762207031,0.019166791811585426,4.0012437129864284e-14,2.9726967811584473,5.442045211791992,1.2492012977600098,1.470698595046997,0.7060448599098669
4,1.0,6.0,20.886497497558594,4.612878322601318,5.925839900970459,1.7887203693389893,1.8993011713027954,0.017947111278772354,1.178686732635284e-13,5.450445175170898,7.348559856414795,1.2846869230270386,1.4481796026229858,0.6877691597993066
5,1.0,7.0,22.29632568359375,4.734257698059082,4.066034317016602,1.8862396478652954,1.733934998512268,0.0077624814584851265,4.9991755797940823e-14,4.905646800994873,6.531166076660156,1.4018011093139648,1.4242175817489624,0.7232305972480049
6,1.0,8.0,26.150327682495117,5.387173652648926,3.6053719520568848,1.9726375341415405,1.5649080276489258,0.014653312973678112,1.3047896096907152e-13,5.217826843261719,7.510979652404785,1.4875175952911377,1.4780510663986206,0.7695571099297663
7,1.0,9.0,13.524507522583008,3.858764410018921,3.3352742195129395,1.6679329872131348,1.4536681175231934,0.00013390043750405312,1.77197761130031e-13,4.069279670715332,4.632405757904053,1.2935541868209839,1.4847863912582397,0.6825145335046222
8,1.0,10.0,12.288694381713867,3.8132355213165283,3.9253859519958496,1.645622730255127,1.631422758102417,0.0002257988671772182,3.878286580771828e-13,3.989637613296509,4.503477096557617,1.4212791919708252,1.3155771493911743,0.6737931680839085
9,2.0,2.0,1.231949806213379,1.5019954442977905,0.7585824728012085,1.2194160223007202,0.6158662438392639,0.5576755404472351,2.5579538487363607e-13,0.01730452850461006,0.5839164853096008,0.7975162267684937,1.1898542642593384,0.6725514805488162
10,2.0,3.0,2.051809310913086,1.728550910949707,1.8954206705093384,1.2194647789001465,1.0889521837234497,0.34820830821990967,1.3364309658925322e-14,0.5820999145507812,0.9399198293685913,0.8360547423362732,1.0852910280227661,0.6692428169309146
11,2.0,4.0,24.76719093322754,9.492713928222656,17.664756774902344,2.3537540435791016,2.697878122329712,0.18477387726306915,1.4353882665796291e-13,4.921304702758789,9.866382598876953,1.0999692678451538,1.844459056854248,0.7747698038138882
12,2.0,5.0,15.745774269104004,7.371386528015137,20.69339370727539,1.7421923875808716,2.453413724899292,0.02411321923136711,3.420666663334418e-14,3.956963300704956,5.740540981292725,0.7874343395233154,1.2523761987686157,0.6817301292961331
13,2.0,6.0,16.264881134033203,7.838117599487305,19.898555755615234,1.7485780715942383,2.2574024200439453,0.03283531591296196,2.689746517149042e-14,3.522979497909546,5.3495941162109375,0.7516981363296509,1.0967998504638672,0.6853477620056335
14,2.0,7.0,19.465822219848633,5.769335746765137,2.019897699356079,1.8148488998413086,1.1794768571853638,0.005235456395894289,5.010277810040334e-14,4.552485466003418,6.199380397796631,0.9693049788475037,1.0226004123687744,0.7095803386985109
15,2.0,8.0,16.181068420410156,5.831606388092041,4.714425563812256,1.784819483757019,1.5563597679138184,0.0025151330046355724,2.721438525921105e-13,4.218660354614258,5.845327377319336,0.8890467882156372,1.0900708436965942,0.6895096270061798
16,2.0,9.0,16.456695556640625,5.835211753845215,5.134697914123535,1.8250256776809692,1.735404133796692,0.00034595056786201894,9.639203091315121e-14,4.255008220672607,5.31215238571167,0.9390137791633606,1.1407219171524048,0.6811793097676643
17,2.0,10.0,12.879533767700195,5.840970993041992,6.527403354644775,1.8340624570846558,1.7786468267440796,0.00033238224568776786,3.01123356935204e-13,4.232895374298096,4.570653438568115,0.9825141429901123,1.0851677656173706,0.6766425319017837
18,3.0,2.0,1.0673712491989136,1.1274973154067993,0.5694441199302673,1.0565142631530762,0.5335935354232788,0.37926387786865234,1.1368683772161603e-13,0.02352863736450672,0.5059140920639038,0.69481360912323,1.0970672369003296,0.6719890526562231
19,3.0,3.0,1.5526915788650513,1.2069915533065796,1.1762782335281372,1.0565816164016724,0.8700129985809326,0.28693822026252747,1.480297330873836e-15,0.33142659068107605,0.7022032737731934,0.7112320065498352,1.0048414468765259,0.6698833761299232
20,3.0,4.0,1.7822200059890747,1.1908626556396484,1.0777181386947632,1.0348408222198486,0.8893986940383911,0.23475374281406403,2.3470461685271005e-13,0.47234809398651123,0.7524504661560059,0.7806225419044495,0.8347235321998596,0.6692189804990397
21,3.0,5.0,24.893274307250977,6.381525039672852,5.255595684051514,2.051687240600586,1.8082218170166016,0.026094544678926468,6.105588040358767e-13,4.469808578491211,8.8497953414917,1.2657512426376343,1.6429892778396606,0.8077095085415272
22,3.0,6.0,24.596893310546875,6.246251106262207,9.7626314163208,2.0311059951782227,2.4024932384490967,0.030229199677705765,2.5839516615798475e-13,4.967871189117432,7.678557395935059,1.2853834629058838,1.5695346593856812,0.7501202429629468
23,3.0,7.0,21.5115966796875,5.159921646118164,5.859755992889404,2.024343252182007,1.9855042695999146,0.010352393612265587,3.632015275014701e-14,5.158564567565918,6.434070110321045,1.4281022548675537,1.5077884197235107,0.6924680569570111
24,3.0,8.0,26.255874633789062,5.379784107208252,3.479825258255005,2.0031473636627197,1.4736018180847168,0.019207103177905083,3.2202712718643056e-13,5.386572360992432,7.476579189300537,1.4748115539550781,1.4619022607803345,0.7671635818823508
25,3.0,9.0,15.110990524291992,4.42813777923584,3.7425951957702637,1.8434691429138184,1.652288556098938,0.0002311879361514002,1.624271734907562e-13,3.789518117904663,5.012427806854248,1.310785174369812,1.4162940979003906,0.7008487194425854
26,3.0,10.0,15.323467254638672,4.661657333374023,4.732287406921387,1.8966293334960938,1.8487637042999268,6.403578299796209e-05,2.5251467041485787e-13,3.914006233215332,4.963438034057617,1.3314201831817627,1.3577876091003418,0.709447808599032
27,4.0,2.0,0.40187785029411316,0.15977132320404053,0.08069117367267609,0.3977104425430298,0.2008621096611023,0.2798176109790802,1.5987211554602254e-14,0.006867076735943556,0.20614202320575714,0.28243488073349,0.4001208245754242,0.6677282011356517
28,4.0,3.0,3.072774887084961,0.6114734411239624,0.8587762713432312,0.6473740935325623,0.6460115909576416,0.08560160547494888,8.901444678739972e-15,0.7931392192840576,1.4406113624572754,0.3769855201244354,0.579049825668335,0.66890263255116
29,4.0,4.0,9.075462341308594,1.8207577466964722,4.188971996307373,1.0041760206222534,1.3531928062438965,0.007716151885688305,1.0627002750007719e-13,2.073690176010132,3.8540585041046143,0.5070223212242126,0.8156675100326538,0.6760091055373062
30,4.0,5.0,7.40294885635376,1.6526780128479004,3.5770885944366455,0.8799487352371216,1.1300153732299805,0.004811422899365425,4.313389923016331e-15,1.826716423034668,2.8057119846343994,0.44008997082710266,0.6517199873924255,0.671101721680188
31,4.0,6.0,10.530820846557617,1.6531480550765991,0.9547934532165527,1.0430766344070435,0.8288622498512268,0.0021536280401051044,7.595920420433444e-15,2.6240665912628174,3.8480687141418457,0.6434748768806458,0.7022371292114258,0.6750208494898201
32,4.0,7.0,12.914474487304688,1.8474926948547363,2.2648587226867676,1.0753281116485596,1.0273910760879517,0.0020878876093775034,3.544833223072426e-14,2.6635680198669434,3.928577184677124,0.597967267036438,0.6778799891471863,0.6872231749871028
33,4.0,8.0,16.051782608032227,2.097184419631958,2.0579416751861572,1.1762539148330688,1.1130883693695068,0.005399435758590698,9.18642603393166e-14,3.1835243701934814,4.677577972412109,0.598918080329895,0.7120868563652039,0.7144415785773918
34,4.0,9.0,7.931100845336914,1.5249106884002686,1.4404951333999634,0.910414457321167,0.9019272327423096,0.00011485904542496428,2.1106573655721786e-14,2.392115592956543,2.8477277755737305,0.5301240086555481,0.6199987530708313,0.6697426767423874
