,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_f_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
0,2319,mnist67,10000,0.9321089386940002,0.8830835223197937,./d.n=mnist67,0.013225872069597244,5.98693350184476e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist67,shallow,0.0001,1.593105435371399,1.5590524673461914,1.0455378293991089,1.0225719213485718,8.445830345153809,0.013043695079757056
1,2972,mnist69,10000,0.9524942636489868,0.912869393825531,./d.n=mnist69,0.014728281646966934,4.8741421778686345e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist69,shallow,0.0001,1.5939840078353882,1.6038200855255127,1.0790592432022095,1.0295792818069458,10.1522855758667,0.014658896460777095
2,3119,mnist14,10000,0.5074023604393005,0.4886742830276489,./d.n=mnist14,0.0055886744521558285,5.2318609959911555e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist14,shallow,0.0001,1.5800058841705322,1.6194841861724854,1.0715588331222534,0.9467086791992188,12.119154930114746,0.013794664000701215
3,3215,mnist19,10000,0.5979382991790771,0.5972016453742981,./d.n=mnist19,0.014952820725739002,1.1318569704599213e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist19,shallow,0.0001,1.7196320295333862,1.8568289279937744,1.0248864889144897,1.0401999950408936,13.244473457336426,0.014538491582682523
4,3372,mnist07,10000,0.7263401746749878,0.6802915334701538,./d.n=mnist07,0.011530308052897453,5.496405265148496e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist07,shallow,0.0001,1.717646837234497,1.6972630023956299,1.0458928346633911,1.03514564037323,10.641311645507812,0.014764010849545338
5,3384,mnist01,10000,0.4928089678287506,0.4624355435371399,./d.n=mnist01,0.0011432276805862784,3.5633338484331034e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist01,shallow,0.0001,1.1330593824386597,1.0989445447921753,1.092810034751892,0.9801161885261536,7.687592029571533,0.011581633829307086
6,4143,mnist15,10000,0.6450154781341553,0.6063695549964905,./d.n=mnist15,0.010936346836388111,1.7141839634859934e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist15,shallow,0.0001,2.0369338989257812,2.059953212738037,1.0151798725128174,0.9757988452911377,12.080972671508789,0.014488751070576232
7,4651,mnist27,10000,1.129937767982483,1.0857737064361572,./d.n=mnist27,0.04049040749669075,3.6725411973748123e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist27,shallow,0.0001,2.4291367530822754,2.368279218673706,1.0383918285369873,1.0363613367080688,20.597047805786133,0.019048105493059284
8,4912,mnist17,10000,0.9512149691581726,0.8704901337623596,./d.n=mnist17,0.028362957760691643,7.430627192661632e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist17,shallow,0.0001,2.2277822494506836,2.2377545833587646,1.0237154960632324,0.992790162563324,17.19247817993164,0.016519154250091313
9,5094,mnist16,10000,0.572674572467804,0.5307186245918274,./d.n=mnist16,0.015767695382237434,1.3862856576452032e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist16,shallow,0.0001,1.6234694719314575,1.6001622676849365,1.0104947090148926,1.005812168121338,11.281942367553711,0.014430561009898847
10,5200,mnist29,10000,0.8776617646217346,0.8494271039962769,./d.n=mnist29,0.024185067042708397,4.891530807071831e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist29,shallow,0.0001,2.2641892433166504,2.20436954498291,1.0390310287475586,1.0659337043762207,15.865409851074219,0.01763160537588069
11,6102,mnist12,10000,0.7245727777481079,0.6517167687416077,./d.n=mnist12,0.02158653549849987,1.0996941455232445e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist12,shallow,0.0001,2.0363245010375977,2.0861363410949707,1.0934635400772095,1.0044481754302979,17.975868225097656,0.0170486107594691
12,6626,mnist13,10000,0.5810072422027588,0.5348679423332214,./d.n=mnist13,0.01323647703975439,1.837128547776956e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist13,shallow,0.0001,2.000427007675171,2.065361738204956,1.023109793663025,0.9839205145835876,14.984912872314453,0.015943122892416315
13,7052,mnist04,10000,0.438484251499176,0.3885240852832794,./d.n=mnist04,0.00932538602501154,5.755008260166505e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist04,shallow,0.0001,1.770824909210205,1.6123831272125244,1.0142277479171753,1.0272305011749268,11.666738510131836,0.01671953356212509
14,7055,mnist05,10000,0.7878140807151794,0.7033208012580872,./d.n=mnist05,0.018717141821980476,1.1199692380614579e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist05,shallow,0.0001,2.488335609436035,2.441956043243408,1.0544614791870117,1.0797607898712158,16.35236930847168,0.019535685142476958
15,7711,mnist57,10000,0.7373459935188293,0.6491169333457947,./d.n=mnist57,0.02605939656496048,4.8141582738026045e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist57,shallow,0.0001,2.356783628463745,2.274221420288086,1.027590274810791,1.0094892978668213,14.629155158996582,0.017970710108824863
16,8107,mnist78,10000,0.9078552722930908,0.8188948035240173,./d.n=mnist78,0.03489011526107788,6.6173888626508415e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist78,shallow,0.0001,2.4816999435424805,2.422434091567993,1.1062275171279907,1.0527219772338867,18.60209846496582,0.02004171822479474
17,8555,mnist46,10000,0.7659459710121155,0.7108177542686462,./d.n=mnist46,0.028836911544203758,2.09525187528925e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist46,shallow,0.0001,2.2455999851226807,2.157865285873413,1.0273568630218506,1.0112662315368652,16.328632354736328,0.01878106133567765
